tweet,image_url,tweet_link
"Nothing is stopping you, let your true colors out ",,https://x.com/terhinakeren
Cutspo!,,https://x.com/terhinakeren
wdym that is normal,,https://x.com/terhinakeren
jealous…,,https://x.com/terhinakeren
bisa jadi UU TNI dan RUU polri guna untuk menjegal Prabowo suatu saat nanti..,,https://x.com/nanda_xxi
Yorke,,https://x.com/terhinakeren
THIS IS SO AWESOME I MIGHT NEED TO DRAW THIS,,https://x.com/terhinakeren
LMFAO,,https://x.com/terhinakeren
mndinginkan kepala,https://pbs.twimg.com/media/Go9q41ybwAAH-WL?format=jpg&name=medium,https://x.com/blxccat
kepikiran bias gue ttp bisa ngonser di sini lg egk yah gegara ruu tni disahkan. gue agak hopeless,,https://x.com/capvespiere
"bro just said TOLAK RUU TNI with MERDEKA hair+outfit pallete

HEESEUNG DOMINATES COACHELLA
#CoachellaHeeseungFever 
#HEESEUNG #ENCHELLA #COACHELLA2025",,https://x.com/eye_iann
Tomorrow is Hari Kartini!!! I’m wearing my new kebaya for school tomorrow ^_^!!!,,https://x.com/terhinakeren
"Sy: kita perlu mendukung akuntabilitas pemerintah, contohnya penetapan ruu tni yg tergesa2
Bumble date: ""ahhh gak apa2. Kan ga ngaruh ke kamu. Lagian bagus ada militer di sipil, biar tegas dan gak korup11!!! 11!!! """,,https://x.com/ChocoPinkGirl
ih cantik kaya mirip tiktokers kak lala itu loo,,https://x.com/alearnerisa
Semangat kak jull semoga tuhan berpihak ke kita semuaa,,https://x.com/i/communities/1563523721762967552
"Dibanding soal promotor, kondisi negara lebih ga memungkinkan mereka mampir lagi. Kacau banget uu tni udah sah. Masih ada ruu polri, ruu kuhap, dan ruu penyiaran

Kurs juga semakin naik, tapi pemerintah menyepelekan",,https://x.com/mymykidults
ruu tni aj kk yg diapus #sikap,,https://x.com/bluepIums
If smoking kills why make it so pretty and cute,,https://x.com/terhinakeren
‘Oh u say ur wlw but I see u mostly drawing men!’ STOP STOP STOP I like GIRLS IDK I JUST LIKE DRAWING DUDES??? I have had MULTIPLE crush on girls and I do have a crush on a girl rn PLS PLS I LOVE GIRLS WOMEN MUAH MUAH,,https://x.com/terhinakeren
Boleh ga si aku masuk gereja cuman buat beli merch Luce and gang,,https://x.com/terhinakeren
Funny,,https://x.com/terhinakeren
"RUU KUHAP, RUU TNI, RUU POLRES

FUCK JEJAK DIGITAL, KALIAN BAHKAN GABISA BEDAKAN MANA BAIK MANA BURUK.

bahkan kalau kalian dibilang anjing pun itu adalah sebuah penghinaan pada kaum anjing, begitu juga monyet, begitu juga babi.",,https://x.com/SirBlackPuppet
"ini ciri orang ga bisa kritis, dikasih pandangan kalau agama itu lebih dari ideologi dan karena yg diajarkan adalah kebaikan general yang luas, ga jarang di beberapa kisah malah bersinggungan ke praktek suatu ideologi. emang salah ya gue menentang agama ≠ ideologi?",,https://x.com/blxccat
"lah lu bilang ga mau jawab tpi sampe sekarang ga dijelaskan tanpa bawa agama, lu hidup di negara monarch islam apa demokrasi gue tanya? ga ada yg bisa lu sebutkan kebenarannya tanpa bawa individualis lu",,https://x.com/blxccat
"seminggu ini udh ditanya:
""kak, ada ktm ngga?nanti ada dikson 10%"" (pas beli di kakoi)
""kakanya lagi pulang kuliah kah?"" (pas beli naspad, pdhl pulang kerja)
""kuliah di mana kak?"" (pas pulang naik ojek)

emg muka-muka blom cocok nikah ya gini",,https://x.com/sweetscoupss
server jebras jebris emangnya gweh gabisa jebras jebris juga,,https://x.com/leftoverciggs
"that one girl sejak pemilu, remehin ruu tni, sampe tugas mkwu masi bela pemerintah wkwk shame on you",,https://x.com/httpmeds
the only revisi RUU TNI i'd accept,https://pbs.twimg.com/media/E58PUNQWEAUcMDX?format=jpg&name=900x900,https://x.com/heyyocl
Gamau jd pesimis person tp yg persijen nya aja dr ruu tni kita bs liat si depe r nya teamed up sm pemrentahan dan ga ada satupun oposisi yg nentang. Berharap bener2 ada keajaiban ntar dtg dr mana kita bs mengakhiri masa kegelapan ini ,,https://x.com/MyfavMeerkat
"Satu kalimat lucu
""Pemerintah gak malu apa sama dokternya""
Padahal tau pemerintah itu lagi sibuk
Ngurus danantara, RUU TNI, impor beras, minyak, dan lain lain
Jadi buat rakyat harus mandiri yah",,https://x.com/jue_viole213
"Susah semua di DPR menolak..
Lebih penting RUU TNI dan POLRI itu menurut mereka",,https://x.com/i/communities/1902051310276637109
"MERDEKA BGT BJI HEEJAKE MENOLAK RUU TNI INI MAH

ENHYPEN VAMPS UP COACHELLA
#ENCHELLA #ENHYPEN #COACHELLA2025",https://pbs.twimg.com/media/Go9ASZCbEAAgMHV?format=jpg&name=small,https://x.com/eye_iann
"Dr pd aborsi 
Lebih baik nyegah ngga si?

Kondom atau alat kontrasepsi lain mending jadiin itu hal yg biasa, bukan tabu.",,https://x.com/renjana0amerta
"aku juga kaget iki kemaren. kok ndengaren men eling mbe anak e, wkwkwk

rasane ya b aja sih La, wkwk",,https://x.com/brotovvali
"RUU ini tetap mengedepankan supremasi sipil. Peran TNI dalam jabatan sipil akan diatur dan diawasi secara ketat, bukan seperti yang dibayangkan oleh pihak yang menolak tanpa membaca keseluruhan isi revisi TNI ini",,https://x.com/joshuaandrian44
"YOU are the fascist ffs  we already democratic why u wanna be monarchy, bfr wahyu",,https://x.com/blxccat
memangnya swmua ideologi ini membenarkan perilaku yang salah?,,https://x.com/blxccat
"I won't say rasul is a feminist but I agree rasul teaches gender equality in some cases. but to get into heterogenous movements, it needs something that can represent the urge",,https://x.com/blxccat
"lah gue emang termasuk dalam pergerakan apa? gue percaya apa yang mau gue percaya dan ga takut ga diterima ama random person in internet coy. anw I alr explained why religion can be an example for some ideology cases, but it doesn't mean religion = ideology",,https://x.com/blxccat
