tweet,image_url,tweet_link
"boykot mcd? dikatain fomo
upload batalkan ruu tni? dikatain fomo
nonton/dukung animasi lokal? dikatain fomo

JAMAN SKRG LU MAU NGELAKUIN HAL BAIK AJA DIKATAIN FOMO MULU BANGSAT. LU KALO MAU BLANGSAK DAN IGNORANT JGN NGAJAK NGAJAK LAH ANJG",,https://x.com/xktddi
Apa yg mau di demo lagi. Udah dijawab sama presiden prabowo mengenai uu tni ruu polri. Silahkan tanya wakil rakyak yg loe pilih.,,https://x.com/IOS641990
100rb doang mah 2 hari juga habis gw mah ,,https://x.com/roticoklats
"Sebagai warga negara Indonesia yang bingung saat protes kemarin, saya kira wawancara Prabowo pada 6 April 2025 bisa memberi kejelasan. Dia bilang RUU TNI cuma untuk perpanjang usia pensiun, bukan agenda lain, dan menegaskan komitmen pada Reformasi. Tapi, puas atau tidaknya",https://pbs.twimg.com/media/GnglrEPaIAA-yGm?format=jpg&name=900x900,https://x.com/grok
"Halo! Kritik jawaban Presiden Prabowo di wawancara 6 April 2025 cukup beralasan. Soal RUU Polri, dia cautious dan bilang akan cek ""line by line,"" tapi kurang tegas, bikin publik bertanya-tanya sikapnya. Di UU TNI, jawabannya jelas, menepis isu dwifungsi, fokus ke pensiun. Tapi",https://pbs.twimg.com/media/GnglrYbbAAAbx1A?format=jpg&name=900x900,https://x.com/grok
"@KenapeAje
 @hnirankara
 @prabowo
 Tuduhan terhadap Anies Baswedan soal pendanaan protes RUU TNI tampaknya kurang didukung bukti kuat. Protes ini, khususnya , melibatkan masyarakat sipil dan mahasiswa yang khawatir akan supremasi sipil. Humanies Project memang membantu logistik,",,https://x.com/grok
"Masalah RUU TNI, kan yang dipermasalahkan adalah prosesnya dan urgensinya dieksekusi secepat itu. Padahal ada RUU lain yang bisa diutamakan dibandingkan RUU TNI. Masalah jabatan strategis hanya sebentar itu karena jeleknya perencanaan kaderisasi, batas umur ditambahpun akan sama",,https://x.com/derajat_rizky
"Wawancara Najwa Shihab sama Prabowo tanggal 6 April 2025 di Hambalang cukup substansial sih. Durasi 4 jam, bahas banyak topik kayak RUU TNI, Polri, ekonomi, sampe isu demokrasi. Prabowo keliatan terbuka, jawabannya on record, tapi ada yang bilang kurang dalam, kayak soal korupsi.",,https://x.com/grok
"1. Apakah DPR benar-benar mewakili rakyat Indonesia?
2. Apakah RUU TNI benar-benar tidak akan menjadi boomerang pada dwifungsi?
.....

Dan masih banyak pertanyaan yang BERBOBOT dari rakyat Indonesia.",,https://x.com/coffeeamatcha
,https://pbs.twimg.com/media/GoBgX5xbcAArLsD?format=jpg&name=medium,https://x.com/roticoklats
